Streamer,Hours_Streamed,Average_Viewers,Peek_Vierwers,Days_Active,Total_Games_Streamed,Daily_Broadcast_Time,Hours_Watched_Daily,Follower_Gained/stream,Views/stream,Followers_Gained/Hour,Followers_to_Date,Total_Views,Active_Days_per_Week,Average_Games/stream,Views/hour
savjz,4059,7636,42072,656,18,6,47253,458,57517,66.5,519235,52496575,5.3,1.1,66.5
warcraft,1325,13715,117791,174,1,8,104467,1371,219917,208.9,517837,63278766,1.4,1,208.9
bacon_donut,4198,800,4500,550,52,8,6106,111,10672,13.2,517220,23355336,4.4,1.2,13.2
sheviiioficial,3859,1628,25508,491,30,8,12796,819,29810,126,486569,17713921,4,1.9,126
felps,2406,2024,11456,483,166,5,10082,1139,18674,201.7,513353,8317485,3.9,3.1,201.7
felps,2406,2024,11456,483,166,5,10082,1139,18674,201.7,513353,8317485,3.9,3.1,201.7
singsing,5738,4770,24068,729,153,8,37542,241,39945,32.6,514226,76370300,5.9,1.4,32.6
sacriel,5639,3677,46834,709,88,8,29246,369,46809,45.9,527372,56854358,5.7,1.4,45.9
sacriel,5639,3677,46834,709,88,8,29246,369,46809,45.9,527372,56854358,5.7,1.4,45.9
skillshot,7528,2120,88784,698,11,11,22864,120,21822,17.3,473062,161276033,5.6,1.2,17.3
pimpimentalol,4205,2187,14128,572,53,7,16078,715,26330,119.4,503592,18510265,4.6,1.3,119.4
axtlol,2542,6874,50764,394,16,6,44342,1347,84382,163.2,512072,33025743,3.2,1.4,163.2
domingo,2025,5999,96582,487,132,4,24946,488,54713,118.7,507161,46913648,3.9,1.9,118.7
manvsgame,2910,2840,9083,309,55,9,26745,164,26256,16.7,506953,64109539,2.5,1.1,16.7
gtimetv,5289,886,21144,692,133,8,6772,178,11021,27.3,505279,15808727,5.6,1.5,27.3
hiko,403,3476,12883,119,4,3,11785,692,28176,204.2,503466,16791664,1,1.2,204.2
poach,1746,2700,25595,275,11,6,17140,1848,29490,285.9,499293,7966424,3.5,1.1,285.9
starladder_cs_en,2130,11080,280246,250,1,9,94399,817,111638,132.7,498640,66012724,2.2,1,132.7
hiko,403,3476,12883,119,4,3,11785,692,28176,204.2,503466,16791664,1,1.2,204.2
swifty,4879,855,26273,615,62,8,6783,196,15023,21.9,495553,43825903,5,1.5,21.9
patopapao,1928,3880,17072,408,75,5,18333,1107,45352,197,495247,17085117,3.8,1.5,197
gennabain,849,5467,44001,218,80,4,21280,49,37481,13,492719,59167918,1.8,1.2,13
angryjoeshow,3294,808,10909,690,310,5,3857,173,7275,38,491867,14048661,5.6,1.3,38
jghosty,750,760,47551,271,32,3,2103,1668,7123,627.3,484138,2178827,2.2,1.2,627.3
lck,1588,21768,172716,262,1,6,131955,1728,180478,284,555941,54041910,2.3,1,284
lck,1588,21768,172716,262,1,6,131955,1728,180478,284,555941,54041910,2.3,1,284
annemunition,4149,1651,37961,736,87,6,9308,453,18177,72,491243,16531105,5.9,1.7,72
gladiatorpwnz,3363,2963,14901,536,211,6,18589,683,41070,113.7,492127,29818637,4.3,3.5,113.7
esl_lol,3824,2074,153728,241,1,16,32910,348,132687,10.2,482613,138722771,2,1,10.2
warcraft,1325,13715,117791,174,1,8,104467,1371,219917,208.9,517837,63278766,1.4,1,208.9
warcraft,1325,13715,117791,174,1,8,104467,1371,219917,208.9,517837,63278766,1.4,1,208.9
jghosty,750,760,47551,271,32,3,2103,1668,7123,627.3,484138,2178827,2.2,1.2,627.3
lebouseuh,1680,2665,22506,509,28,3,8798,662,6897,278.3,483454,4938345,4.3,1.2,278.3
meteos,1572,2691,19304,283,3,6,14949,139,21059,21.9,483611,27121677,2.3,1,21.9
esl_lol,3824,2074,153728,241,1,16,32910,348,132687,10.2,482613,138722771,2,1,10.2
brownman,3278,1537,5834,757,314,4,6655,192,9149,36.7,482512,11063232,6.1,1.6,36.7
handiofiblood,667,5750,65007,167,53,4,22964,1909,78720,472.2,479701,15494426,1.4,1.4,472.2
mrtweeday,5114,355,4286,703,18,7,2582,73,9720,12.1,478869,14960675,5.7,1.3,12.1
davyjonesbr,625,4699,25184,162,39,4,18131,2719,43025,652.4,467653,6968721,1.6,1.3,652.4
ricegum,98,6210,16699,43,2,2,14189,5035,29830,2101.2,473282,3195510,0.7,1,2101.2
playoverwatch,657,15046,224005,89,1,7,111019,4790,191498,678.4,476610,19022518,0.9,1,678.4
skillshot,7528,2120,88784,698,11,11,22864,120,21822,17.3,473062,161276033,5.6,1.2,17.3
kaceytron,2372,675,8021,650,143,4,2464,14,7363,3.5,471014,31625421,5.2,2,3.5
wismichu,244,2831,49176,112,18,2,6163,4112,25833,1905.8,469536,2977741,1.4,1.2,1905.8
nepenthez,1224,2658,11282,410,18,3,7935,384,8561,102.3,469525,5308606,3.4,1.3,102.3
picoca,2233,1703,14997,428,42,5,8885,583,21989,91.1,467010,20080951,3.5,1.7,91.1
pengu,4272,1553,7276,681,25,6,9743,603,12377,106.7,462741,9486797,5.5,1.1,106.7
silvername,4165,9931,32915,630,45,7,65655,516,89674,82.1,462123,68223057,5.1,1.3,82.1
versuta,3918,2440,11658,636,12,6,15032,138,21641,24.5,460204,106581628,5.1,1.2,24.5
immarksman,3400,932,29737,773,24,4,4099,295,3534,64.6,460176,4312951,6.2,1.3,64.6
wingsofdeath,5913,1958,12174,854,46,7,13557,46,13371,6.4,459139,98678350,6.9,1.3,6.4
jesusavgn,1895,3233,14124,414,152,5,14797,647,33942,140,457643,20583313,3.3,2.4,140
zero,3379,2747,24679,495,83,7,18753,867,21918,116.5,456488,11165462,4.3,1.6,116.5
lebledart,216,1555,5267,59,29,4,5696,1522,10331,429.4,456139,5713970,0.5,1.6,429.4
cincinbear,7313,351,3416,773,73,9,3320,215,11431,27.7,453696,16724464,6.3,2.1,27.7
natehill,1965,1554,31061,386,14,5,7912,1084,11491,231,454042,4814745,5.5,1.1,231
anniebot,3522,1647,21635,580,3,6,10001,251,12758,43.2,452521,16517934,4.7,1,43.2
paluten,51,10774,39864,17,8,3,32216,4786,61712,1600.7,439897,3609320,0.2,1.5,1600.7
vgbootcamp,3604,4155,151180,592,42,6,25297,313,58113,54.1,448774,75574694,4.8,1.5,54.1
kephrii,5070,1793,13481,645,39,8,14094,648,19520,80.7,446600,12949038,5.2,1.2,80.7
theokoles,4050,2020,9988,755,50,5,10835,307,47930,59.2,446150,50975009,6.1,1.8,59.2
xchocobars,3222,2080,24860,688,74,5,9739,617,28576,108,445319,19044527,5.6,1.6,108
frankkaster,2517,2568,25546,499,90,5,12956,801,20920,176.3,443996,11590549,5,2.2,176.3
calango,1509,1770,12837,334,83,5,7997,1466,15895,272.1,419043,4528038,2.7,2.6,272.1
summonersinnlive,5082,5765,57392,575,8,9,50956,243,95559,34.3,441934,113227933,4.6,1,34.3
honeymad,1603,8244,32680,271,148,6,48749,531,76448,84.1,436492,43141972,2.7,1.5,84.1
markilokurasy,3801,1269,16291,668,50,6,7220,581,11091,113.7,433477,8256394,5.9,1.8,113.7
lec,684,37465,183626,114,1,6,224724,1801,291825,329.3,423853,55167041,1,1,329.3
sevadus,4100,740,5669,554,109,7,5477,69,6854,10.4,433299,28720826,4.5,1.3,10.4
bmkibler,3496,4356,72737,599,17,6,25422,411,39711,58.2,431653,30141124,4.8,1.4,58.2
saddummy,6985,4280,40819,754,378,9,39652,592,54825,61.5,430576,39806964,6.1,3,61.5
rtgamecrowd,1350,1358,9354,401,128,3,4572,1077,8097,315,428393,3213103,3.2,1.2,315
pietsmiet,943,5931,97872,218,108,4,25656,554,35831,141.7,428907,18994106,1.8,1.4,141.7
officialgetright,286,3504,17275,114,2,3,8804,710,26162,300.2,430043,8411973,1,1,300.2
llstylish,3151,1689,18460,685,7,5,7770,715,16754,135.9,428764,10043324,5.5,1,135.9
sweet_anita,592,2485,15289,226,23,3,6506,3185,25779,721.3,426856,3454495,5.3,2,721.3
nervarien,4435,3611,46466,654,24,7,24490,226,51362,38.3,424437,67801127,5.3,1.1,38.3
theokoles,4050,2020,9988,755,50,5,10835,307,47930,59.2,446150,50975009,6.1,1.8,59.2
summonersinnlive,5082,5765,57392,575,8,9,50956,243,95559,34.3,441934,113227933,4.6,1,34.3
lec,684,37465,183626,114,1,6,224724,1801,291825,329.3,423853,55167041,1,1,329.3
dogdog,3487,7566,30780,582,37,6,45333,476,46215,71.9,423786,33698538,4.7,1.3,71.9
lec,684,37465,183626,114,1,6,224724,1801,291825,329.3,423853,55167041,1,1,329.3
kinggeorgetv,5872,2043,27013,759,44,8,15807,497,11754,71.5,420736,9930641,6.2,1.2,71.5
alexelcapo,1463,5865,108851,479,140,3,17918,478,30289,178.5,418398,22040619,3.9,1.2,178.5
bethesda,343,11410,382658,149,20,2,26265,1607,93302,717,417827,23338181,1.2,1.2,717
bajheera,5177,659,34624,779,61,7,4379,86,11424,20.1,414957,35086986,6.3,1.4,20.1
troydangaming,857,2803,6173,298,33,3,8064,646,7184,183.1,413963,4447756,2.4,1.5,183.1
anthony_kongphan,6862,1685,18679,712,158,10,16240,354,21031,34.9,412997,20013859,5.7,1.6,34.9
dinglederper,1752,481,3913,454,29,4,1856,122,10784,26.6,409026,15542968,3.7,1.8,26.6
nintendo,111,31102,263863,35,10,3,98386,4367,203023,1380.6,407973,26667503,0.3,1.1,1380.6
steel_tv,2945,1456,9511,455,28,6,9424,200,18628,31.5,409103,22143656,3.7,1.6,31.5
miakhalifa,98,2995,21268,52,22,2,5640,7589,76887,4108,405970,4091509,0.6,1.3,4108
datto,2820,2118,62730,549,40,5,10879,482,15419,70.9,406669,8431653,4.5,1.3,70.9
arthas,1882,10790,70020,468,40,4,43386,919,102957,229.2,621015,64421400,3.8,2.1,229.2
lilchiipmunk,2006,718,13115,617,41,3,2335,381,12314,116.7,405014,11218236,5,2,116.7
dinterlolz,1151,4918,27241,246,13,5,23003,524,53216,115.2,404077,30696821,2,1.4,115.2
wankilstudio,422,6503,13231,147,102,3,18677,1834,39141,577.6,403728,10793425,1.2,1.7,577.6
gordox,371,3852,19341,99,8,4,14450,1988,31930,508.5,385424,14793000,0.9,1.1,508.5
andymilonakis,3448,1990,16764,640,131,5,10722,501,18944,106.4,403016,14126164,5.2,1.4,106.4
destiny,6409,2957,16731,796,71,8,23809,193,16758,38.7,401620,90882173,6.4,1.8,38.7
mobilmobil,3669,5340,20032,780,359,5,25118,132,42531,34.7,400669,75008073,6.3,1.6,34.7
pokelawls,4878,1694,23937,682,270,7,12116,373,14792,54.9,399244,15112406,5.5,2.4,54.9
twitchplayspokemon,21042,163,2444,869,2,24,3947,64,8044,1,398712,74692888,7,1,1
terroriser,1558,954,7120,343,42,5,4334,821,14111,153.4,397064,4556143,2.8,1.5,153.4
ltzonda,6867,71,3027,698,80,10,699,57,1908,7.4,396180,8621539,5.6,1.1,7.4
fattypillow,1717,2266,20600,468,146,4,8313,283,17964,84.8,395187,17525150,3.8,2.7,84.8
muselk,58,2408,17673,24,11,2,5866,11707,26281,5005.7,395838,1477326,0.2,1.1,5005.7
shortyyguy,5783,1514,23492,761,257,8,11505,247,17055,28.1,395177,15613160,6.1,2.6,28.1
elwind,946,5190,26389,226,32,4,21730,1573,50888,314.2,394874,11800713,1.8,2,314.2
dafran,2318,3958,11770,418,63,6,21948,879,30713,170.3,394695,13790952,3.7,1.4,170.3
thecreatures,29,209,970,26,4,1,236,-961,1783,-688.7,417550,36723361,0.2,1,-688.7
ognesports,1571,2058,65326,294,5,5,10995,118,20110,32.9,394260,109812285,2.4,1,32.9
lvpes,5251,5470,120939,551,4,10,52130,544,126609,53,394011,92576423,4.4,1,53
fairlight_excalibur,6592,2098,17441,743,147,9,18614,125,15575,13.8,392612,19757489,6,1.5,13.8
togi,996,554,5449,204,102,5,2704,462,20035,111.3,394280,13407619,1.6,2,111.3
ognesports,1571,2058,65326,294,5,5,10995,118,20110,32.9,394260,109812285,2.4,1,32.9
ognesports,1571,2058,65326,294,5,5,10995,118,20110,32.9,394260,109812285,2.4,1,32.9
ognesports,1571,2058,65326,294,5,5,10995,118,20110,32.9,394260,109812285,2.4,1,32.9
mcjuggernuggets,265,396,1896,87,22,3,1208,51,3806,15.4,390958,1628342,0.7,1.4,15.4
ybicanoooobov,4933,6612,21005,826,2,6,39485,314,38898,50.3,390274,38768946,6.7,1,50.3
tati,2296,894,12066,508,48,5,4040,755,22619,168.7,388691,11624426,4.1,2,168.7
ognesports,1571,2058,65326,294,5,5,10995,118,20110,32.9,394260,109812285,2.4,1,32.9
matthdgamer,51,1108,3837,40,4,1,1401,361,4605,242.9,386371,2092998,0.4,1,242.9
togi,996,554,5449,204,102,5,2704,462,20035,111.3,394280,13407619,1.6,2,111.3
ogaminglol,19780,2216,95393,842,10,24,52058,570,184547,11,384625,124566682,6.8,1.1,11
eryctriceps,3908,1105,12770,735,20,5,5875,495,16010,96.8,384825,12429902,5.9,1.1,96.8
kamolrf,2098,2898,26549,340,9,6,17882,1034,15729,183.4,384708,5851384,5.3,1.1,183.4
dogdog,3487,7566,30780,582,37,6,45333,476,46215,71.9,423786,33698538,4.7,1.3,71.9
akim,2744,514,6070,634,97,4,2225,379,3760,98.1,381258,3840805,5.1,2.5,98.1
tobiasfate,4419,3523,24095,670,51,7,23236,604,31167,121.6,620864,30150785,5.4,1.2,121.6
alohadancetv,4396,4781,32970,523,57,8,40188,509,65045,67.4,379623,45276884,4.2,1.9,67.4
ellohime,1814,1371,13662,347,129,5,7167,-11,13090,-2.1,378675,19323985,2.8,1.2,-2.1
datto,2820,2118,62730,549,40,5,10879,482,15419,70.9,406669,8431653,4.5,1.3,70.9
postmalone,8,15263,23128,4,2,2,30399,88850,210143,33458.2,274078,635327,0.1,1,33458.2
mitchjones,1677,4080,19351,416,31,4,16451,298,29227,76.3,375773,27976502,3.4,1.5,76.3
watchmeblink,20,497,1026,10,3,2,997,394,2082,196.2,4660,45069,0.1,1.1,196.2
avagg,4999,576,14967,640,132,8,4499,322,12952,40.4,375690,13086168,5.2,1.5,40.4
laceduplauren,2838,384,2689,693,46,4,1572,26,3051,6.5,375373,7344222,5.6,1.4,6.5
tfblade,3412,3374,15829,512,8,7,22485,607,28648,110.2,376077,17733439,5.7,1,110.2
ubisoft,369,3552,166654,177,30,2,7404,1541,24381,781,374869,10535215,1.4,1.1,781
laceduplauren,2838,384,2689,693,46,4,1572,26,3051,6.5,375373,7344222,5.6,1.4,6.5
cyanideplaysgames,3137,1038,4986,594,76,5,5482,385,7420,94.8,373999,6725631,4.8,1.3,94.8
rocketbeanstv,16244,691,6213,674,636,24,16654,324,37695,6.6,373532,73748191,7,12,6.6
heyimbee,696,806,3058,183,27,4,3066,1392,8436,349.9,372140,2021375,1.6,1.7,349.9
rush,497,7380,21743,93,2,5,39420,1189,50499,215.4,373058,14388362,0.8,1,215.4
bayriffer,882,1176,5669,240,100,4,4321,1224,23649,358.2,371713,7632681,1.9,1.1,358.2
coachbirdman,1,649,719,1,1,1,562,-1515,1536,-1748.1,591579,2581,0.6,1,-1748.1
ohmwrecker,755,2865,7017,150,39,5,14422,1131,15752,221.6,371722,4388759,1.2,1.5,221.6
duendepablo,4926,1031,11632,769,113,6,6604,339,9705,72.4,371675,11437434,6.2,2,72.4
tati,2296,894,12066,508,48,5,4040,755,22619,168.7,388691,11624426,4.1,2,168.7
hardgamechannel,1452,3585,18523,248,53,6,20986,995,30665,255.1,370956,11412296,2.5,1.3,255.1
grossie_gore,1693,2023,17054,314,10,5,10906,362,19704,66.9,370797,19385468,3.4,1.1,66.9
thaldrinlol,1830,2606,22039,435,21,4,10962,569,27253,121,368293,14548057,3.5,1.6,121
witwix,2304,2754,15843,427,147,5,14858,160,16514,28.6,366550,17859084,3.5,1.9,28.6
tbnrfrags,44,224,1620,23,3,2,425,105,4001,50.3,358314,8220264,0.3,1,50.3
bida,2757,3206,64753,512,45,5,17266,551,28859,107.7,365543,19627314,4.1,1.4,107.7
elraenn,1186,1457,9220,340,82,3,5083,1064,13036,307.6,364909,4471795,3.9,2,307.6
rajjpatel,1936,4555,38057,542,14,4,16273,629,28874,130.6,364649,15439356,4.4,1.2,130.6
imjahova,1698,170,2566,481,94,4,600,20,1140,6.1,363526,2718964,3.9,1.2,6.1
followgrubby,8200,2666,13894,736,27,11,29704,180,21986,21.9,363338,45273702,5.9,1.1,21.9
xminks,2311,231,1158,388,28,6,1376,85,5670,12.3,363325,5680184,3.1,1.3,12.3
olyashaa,1945,894,12969,390,29,5,4459,917,25537,185.3,361698,10049005,3.2,1.1,185.3
mastersnakou,3623,1902,10134,684,227,5,10075,220,12788,41.4,360573,12785622,5.5,2.8,41.4
miss_rage,3589,268,6481,649,59,6,1482,26,9138,4.9,360504,21625877,5.2,2,4.9
garenatw,1109,19584,115569,195,3,6,111401,382,132256,70.6,361394,179727136,1.6,1,70.6
lol_peanut,593,4249,39880,159,11,4,15860,1460,34480,445.4,359445,7275315,1.3,1.1,445.4
esea,1440,2377,69869,291,1,5,11760,201,40417,52.7,357179,51861871,2.3,1,52.7
kitboga,2569,3633,30874,448,34,6,20831,666,18307,139.3,357799,9833030,4.8,1.1,139.3
yelo,1991,1149,18317,306,12,7,7477,1051,9149,171,354060,3866151,3.4,1.1,171
brucegrannec,2328,4045,43188,643,47,4,14643,325,16971,94.6,352551,15060431,5.2,1.4,94.6
enragedcinema,1986,290,1312,377,12,5,1527,51,1523,9.4,344163,2972466,3,1.1,9.4
mckytv,3828,1351,21513,692,52,6,7473,473,9082,89.4,342999,6572102,5.6,1.6,89.4
woowakgood,5472,2834,30280,687,360,8,22572,448,31938,58.3,342502,23616832,5.5,3,58.3
avagg,4999,576,14967,640,132,8,4499,322,12952,40.4,375690,13086168,5.2,1.5,40.4
sparcmac,5054,1217,15816,661,18,8,9306,179,11365,27.1,342088,20534366,5.3,1.3,27.1
freakazoid,1046,1893,32664,157,10,7,12614,827,24740,126.5,340867,6272046,1.3,1.3,126.5
skyrroztv,2018,1070,9315,435,25,5,4963,473,6100,136.4,340264,3703921,3.5,1.2,136.4
wraxu,4991,2052,12183,623,27,8,16440,480,18364,67.2,340732,12918641,5,1.1,67.2
theonemanny,4310,506,9039,775,187,6,2814,383,7009,74.2,339056,5942526,6.3,2,74.2
skadoodle,1338,1223,38025,166,49,8,9856,1570,26210,176,339001,4745055,1.4,2.1,176
itmejp,5243,2736,54113,768,161,7,18677,98,26134,16,344491,64775486,6.2,1.4,16
itmejptest,1,24,39,1,1,1,22,2,0,2.1,6,128,0,1,2.1
thedarkness,2758,2808,12840,441,88,6,17558,810,37787,116,336649,15238891,3.7,2.5,116
blizzheroes,3639,8704,90026,373,1,10,84912,360,117476,50.7,335769,77054355,3,1,50.7
cobaltstreak,4438,1836,22634,794,232,6,10263,59,12905,9.1,335496,31118931,6.4,2.1,9.1
kneecoleslaw,1955,371,3632,365,77,5,1987,66,12430,10,334479,26813428,4.2,2,10
doigby,1224,1629,46157,290,35,4,6877,1014,12457,234.3,334684,4762718,2.3,1.5,234.3
trihex,4110,1297,20052,683,98,6,7806,209,12180,32.4,333607,17907823,5.5,1.8,32.4
adrive,3171,1470,12588,653,33,5,7138,281,11863,58.1,333164,9728368,5.3,1.3,58.1
djarii,2938,908,27992,554,55,5,4816,423,28820,78.5,332508,19315875,4.5,1.7,78.5
xpertthief,1000,493,3443,266,42,4,1853,286,2980,75.3,332386,2002035,2.2,1.4,75.3
karma,1857,1845,19792,331,60,6,10350,495,15024,73.5,332324,7935276,2.7,1.5,73.5
xpertthief,1000,493,3443,266,42,4,1853,286,2980,75.3,332386,2002035,2.2,1.4,75.3
skyyart,1703,1348,9459,377,61,5,6090,782,13829,172.5,331362,5402306,3.3,1.5,172.5
pobelter,1243,2270,15510,357,6,3,7907,192,14127,54.3,331445,17893799,2.9,1,54.3
vinesauce,3078,4925,16861,731,339,4,20737,214,13972,54.2,330092,28036152,5.9,1.9,54.2
paladinsgame,8531,598,30369,693,8,12,7362,276,14558,32.6,328536,15858989,5.6,1,32.6
lobosjr,5087,1650,8714,665,159,8,12621,232,14620,29.1,327805,19813061,5.4,1.5,29.1
ms_vixen,13947,126,4593,749,64,19,2346,90,3938,6.5,326383,12623033,6.1,2.3,6.5
krepo,374,1873,10706,65,1,6,10763,187,16673,29.5,344320,28794245,0.5,1,29.5
esl_csgob,972,6467,119288,159,1,6,39526,1233,78900,203,326566,18128140,1.3,1,203
dunkstream,140,1655,5074,70,38,2,3306,1904,12016,953.2,307550,3097414,0.6,1.2,953.2
silviosantosdocs,841,4406,13898,203,38,4,18260,1303,31251,294.2,322915,7886952,1.8,1.8,294.2
krepo,374,1873,10706,65,1,6,10763,187,16673,29.5,344320,28794245,0.5,1,29.5
emongg,5917,1459,61616,796,23,7,10845,347,13312,48.4,322135,11586509,6.4,1.1,48.4
csruhub,2659,8587,171987,266,1,10,85845,812,131207,105.7,321819,49732836,2.1,1,105.7
laink,1535,3034,38247,371,162,4,12550,728,20058,175.1,320238,7919605,3,1.7,175.1
diction,2961,297,3808,588,342,5,1496,4,2659,0.7,320030,14579573,4.7,2,0.7
sips_,2582,2143,12035,461,100,6,12004,244,11920,46.3,319791,9291838,3.7,1.2,46.3
agony,2730,328,21671,670,33,4,1336,151,2013,40.4,319779,2152230,5.4,1.3,40.4
blizzard,148,8475,239752,38,9,4,32934,3251,144770,726.6,319536,12537131,0.5,1,726.6
northernlion,2000,4842,18116,691,296,3,14012,173,15406,47.6,318931,22229057,5.6,2.5,47.6
blusewilly_retry,3453,5100,38259,634,126,5,27775,121,37510,28.7,318603,67120171,5.1,1.2,28.7
crayator,3134,992,13852,585,84,5,5315,585,9615,98.9,318700,5179443,4.7,1.4,98.9
cartmanzbs,4639,3550,14949,698,21,7,23593,195,35245,27.8,317181,40684371,5.6,1.4,27.8
overwatchcontenders,1788,4352,41052,241,1,7,32280,866,44054,167.2,316609,15550777,2.5,1,167.2
hutch,3146,776,4518,697,44,5,3503,115,4892,26.1,316327,8725362,5.6,1.2,26.1
basicallyidowrk,149,2552,42973,61,14,2,6213,4484,15890,1781.3,313660,1203402,0.5,1,1781.3
sasa,1702,646,17912,412,25,4,2668,654,10569,163.6,315278,4936679,3.3,1.6,163.6
elfedelobo,1880,1255,8592,433,210,4,5449,482,7153,120.6,311514,4421277,3.5,1.9,120.6
nvidiageforcetr,2416,1164,13557,743,157,3,3784,407,12456,127.1,315724,9451326,6.2,1.6,127.1
capcomfighters,1584,10667,108815,269,13,6,62793,473,118350,87.8,314277,76376698,2.2,1.1,87.8
esl_ruhub_csgo,1149,7968,64642,151,1,8,60609,623,102033,103.1,317626,39106759,1.2,1,103.1
folagorlives,587,1357,27043,270,36,2,2949,975,7578,511.8,312513,2453530,3.1,1.2,511.8
jtgtv,610,10835,40849,104,68,6,63532,2465,192000,497.2,312041,23628830,1.6,2.7,497.2
apored,722,2694,18798,165,9,4,11790,1664,18805,431,311518,3517311,2,1.1,431
formal,598,1869,6659,123,6,5,9079,338,8710,73.4,313515,5312009,1,1.1,73.4
jakenbakelive,3551,2972,23459,520,17,7,20293,538,25318,87.3,312067,14827194,5.6,1,87.3
xayoo_,2044,5193,20615,378,35,5,28085,965,61970,142.1,308841,19154925,3.1,1.6,142.1
chicalive,4494,491,39144,779,37,6,2832,320,3470,54.8,310754,2852989,6.3,1.2,54.8
bibaboy,2175,1013,10194,513,20,4,4296,119,11407,20,310622,14672793,4.2,1.4,20
hexy,4710,1616,15450,720,82,7,10570,179,14750,22.2,309633,13779632,5.8,1.4,22.2
hutch,3146,776,4518,697,44,5,3503,115,4892,26.1,316327,8725362,5.6,1.2,26.1
hutch,3146,776,4518,697,44,5,3503,115,4892,26.1,316327,8725362,5.6,1.2,26.1
zilioner,3636,2500,21629,573,85,6,15863,348,20334,69.9,309740,16082963,4.6,2,69.9
spacelyon,3281,371,20051,475,22,7,2563,575,5915,94,308627,3177403,5.4,1.2,94
nikolarntv,978,615,2163,211,27,5,2849,323,1561,69.7,308225,2516345,1.7,1.7,69.7
svennoss,3922,743,26691,506,29,8,5759,560,10146,78.4,307685,5571677,6.5,1.1,78.4
painlivestream,1776,2009,16764,420,22,4,8496,565,6987,123.1,306449,3234455,3.4,1.4,123.1
wadu,1394,622,13936,401,22,3,2162,766,7649,219.3,306402,3054049,5.2,1.3,219.3
dellor,4234,487,4741,617,46,7,3342,514,3991,72,306988,2502371,5,1.6,72
riotgames,3041,59465,561468,344,1,9,525744,3107,613312,383.1,3518063,1113673334,2.8,1,383.1
dexbonus,2521,1800,12775,615,190,4,7379,150,13108,37.5,305285,14605385,5,1.4,37.5
vivid,1828,1410,35082,301,18,6,8562,1084,14699,167.8,306782,4159842,5,1.2,167.8
epicenter_en,67,2650,20469,7,1,10,25516,545,25161,72.8,5633,319847,0.1,1,72.8
solary,11171,3712,37783,518,171,22,80054,760,161218,26.6,304145,63093335,6.9,2.7,26.6
trilluxe,2366,1239,8776,492,62,5,5958,123,11904,26.2,303275,11594686,4,1.7,26.2
sceptic,1109,742,5978,244,6,5,3371,1207,7214,273.2,302898,1811016,4.8,1,273.2
iddqd,3083,1740,14709,604,14,5,8880,397,12890,82.1,302817,8917832,4.9,1,82.1
stormen,1827,2141,11490,369,21,5,10602,763,23936,147.5,302637,9093599,3,1.2,147.5
